File Name,2018-11-08 - Copy,,,,,,
Date,11/8/2018,,,,,,
Time,11:49:58,,,,,,
Test Info,User had no comments,,,,,,
Directory,C:\emms\test\2018-11-08 - Copy.csv,,,,,,
,,,,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used,,,
"95h, 2m, 12s",914,3000,847,0,,,
"95h, 3m, 13s",912,3000,847,0,,,
"95h, 4m, 14s",914,3000,848,0,,,
"95h, 5m, 15s",914,3000,848,0,,,
"95h, 6m, 16s",916,3000,848,0,,,
"95h, 7m, 18s",908,3000,848,0,,,
"95h, 8m, 19s",912,3000,848,0,,,
"95h, 9m, 20s",910,3000,848,0,,,
"95h, 10m, 21s",912,3000,849,0,,,
"95h, 11m, 22s",910,3000,849,0,,,
"95h, 12m, 23s",908,3000,849,0,,,
"95h, 13m, 24s",910,3000,849,0,,,
"95h, 14m, 25s",910,3000,849,0,,,
"95h, 15m, 27s",908,3000,849,0,,,
"95h, 16m, 28s",912,3000,849,0,,,
"95h, 17m, 29s",910,3000,850,0,,,
"95h, 18m, 30s",910,3000,850,0,,,
"95h, 19m, 31s",910,3000,850,0,,,
"95h, 20m, 32s",910,3000,850,0,,,
"95h, 21m, 34s",910,3000,850,0,,,
"95h, 22m, 35s",914,3000,850,0,,,
"95h, 23m, 36s",914,3000,851,0,,,
"95h, 24m, 37s",914,3000,851,0,,,
"95h, 25m, 38s",914,3000,851,0,,,
"101h, 54m, 14s",878,3000,909,0,,,
"101h, 55m, 15s",878,3000,909,0,,,
"101h, 56m, 16s",884,3000,909,0,,,
"101h, 57m, 17s",882,3000,909,0,,,
"101h, 58m, 18s",880,3000,909,0,,,
"101h, 59m, 19s",882,3000,909,0,,,
"102h, 21s",880,3000,910,0,,,
"102h, 1m, 22s",880,3000,910,0,,,
"102h, 2m, 23s",878,3000,910,0,,,
"102h, 3m, 24s",880,3000,910,0,,,
"102h, 4m, 25s",882,3000,910,0,,,
"102h, 5m, 26s",878,3000,910,0,,,
"102h, 6m, 28s",878,3000,910,0,,,
"102h, 7m, 29s",878,3000,911,0,,,
"102h, 8m, 30s",880,3000,911,0,,,
"102h, 9m, 31s",876,3000,912,0,,,
"102h, 10m, 32s",880,3000,912,0,,,
"102h, 11m, 33s",880,3000,912,0,,,
"102h, 12m, 34s",880,3000,912,0,,,
"102h, 13m, 35s",880,3000,912,0,,,
"102h, 14m, 37s",880,3000,912,0,,,
"102h, 15m, 38s",880,3000,912,0,,,
"102h, 16m, 39s",880,3000,913,0,,,
"102h, 17m, 40s",878,3000,913,0,,,
"102h, 18m, 41s",880,3000,913,0,,,
"102h, 19m, 42s",878,3000,913,0,,,
"102h, 20m, 43s",876,3000,913,0,,,
"102h, 21m, 44s",882,3000,913,0,,,
"102h, 22m, 46s",880,3000,914,0,,,
"102h, 23m, 47s",880,3000,914,0,,,
